Measure,12-Oct-20,13-Oct-20,14-Oct-20,15-Oct-20,16-Oct-20,17-Oct-20,18-Oct-20,19-Oct-20,20-Oct-20,21-Oct-20,22-Oct-20,23-Oct-20,24-Oct-20,25-Oct-20,26-Oct-20,27-Oct-20,28-Oct-20,29-Oct-20,30-Oct-20,31-Oct-20,01-Nov-20,02-Nov-20,03-Nov-20,04-Nov-20,05-Nov-20,06-Nov-20,07-Nov-20,08-Nov-20,09-Nov-20,10-Nov-20,11-Nov-20,12-Nov-20,13-Nov-20,14-Nov-20,15-Nov-20,16-Nov-20,17-Nov-20,18-Nov-20,19-Nov-20,20-Nov-20,21-Nov-20,22-Nov-20,23-Nov-20,24-Nov-20,25-Nov-20,26-Nov-20,27-Nov-20,28-Nov-20,29-Nov-20,30-Nov-20,01-Dec-20,02-Dec-20,03-Dec-20,04-Dec-20,05-Dec-20,06-Dec-20,07-Dec-20,08-Dec-20,09-Dec-20,10-Dec-20,11-Dec-20,12-Dec-20,13-Dec-20,14-Dec-20,15-Dec-20,16-Dec-20,17-Dec-20,18-Dec-20,19-Dec-20,20-Dec-20,21-Dec-20,22-Dec-20,23-Dec-20,24-Dec-20,25-Dec-20,26-Dec-20,27-Dec-20,28-Dec-20,29-Dec-20,30-Dec-20,31-Dec-20,01-Jan-21,02-Jan-21,03-Jan-21,04-Jan-21,05-Jan-21,06-Jan-21,07-Jan-21,08-Jan-21,09-Jan-21,10-Jan-21,11-Jan-21,12-Jan-21,13-Jan-21,14-Jan-21,15-Jan-21,16-Jan-21,17-Jan-21,18-Jan-21,19-Jan-21,20-Jan-21,21-Jan-21,22-Jan-21,23-Jan-21,24-Jan-21,25-Jan-21,26-Jan-21,27-Jan-21,28-Jan-21,29-Jan-21,30-Jan-21,31-Jan-21,01-Feb-21,02-Feb-21,03-Feb-21,04-Feb-21,05-Feb-21,06-Feb-21,07-Feb-21,08-Feb-21,09-Feb-21,10-Feb-21,11-Feb-21,12-Feb-21,13-Feb-21,14-Feb-21,15-Feb-21,16-Feb-21,17-Feb-21,18-Feb-21,19-Feb-21,20-Feb-21,21-Feb-21,22-Feb-21,23-Feb-21,24-Feb-21,25-Feb-21,26-Feb-21,27-Feb-21,28-Feb-21,01-Mar-21,02-Mar-21,03-Mar-21,04-Mar-21,05-Mar-21,06-Mar-21,07-Mar-21,08-Mar-21,09-Mar-21,10-Mar-21,11-Mar-21,12-Mar-21,13-Mar-21,14-Mar-21,15-Mar-21,16-Mar-21,17-Mar-21,18-Mar-21,19-Mar-21,20-Mar-21,21-Mar-21,22-Mar-21,23-Mar-21,24-Mar-21,25-Mar-21,26-Mar-21,27-Mar-21,28-Mar-21,29-Mar-21,30-Mar-21,31-Mar-21,01-Apr-21,02-Apr-21,03-Apr-21,04-Apr-21,05-Apr-21,06-Apr-21,07-Apr-21,08-Apr-21,09-Apr-21,10-Apr-21,11-Apr-21,12-Apr-21,13-Apr-21,14-Apr-21,15-Apr-21,16-Apr-21,17-Apr-21,18-Apr-21,19-Apr-21,20-Apr-21,21-Apr-21,22-Apr-21,23-Apr-21,24-Apr-21,25-Apr-21,26-Apr-21,27-Apr-21,28-Apr-21,29-Apr-21,30-Apr-21,01-May-21,02-May-21,03-May-21,04-May-21,05-May-21,06-May-21,07-May-21,08-May-21,09-May-21,10-May-21,11-May-21,12-May-21,13-May-21,14-May-21,15-May-21,16-May-21,17-May-21,18-May-21,19-May-21,20-May-21,21-May-21,22-May-21,23-May-21,24-May-21,25-May-21,26-May-21,27-May-21,28-May-21,29-May-21,30-May-21,31-May-21,01-Jun-21,02-Jun-21,03-Jun-21,04-Jun-21,05-Jun-21,06-Jun-21,07-Jun-21,08-Jun-21,09-Jun-21,10-Jun-21,11-Jun-21,12-Jun-21,13-Jun-21,14-Jun-21,15-Jun-21,16-Jun-21,17-Jun-21,18-Jun-21,19-Jun-21,20-Jun-21,21-Jun-21,22-Jun-21,23-Jun-21,24-Jun-21,25-Jun-21,26-Jun-21,27-Jun-21,28-Jun-21,29-Jun-21,30-Jun-21,01-Jul-21,02-Jul-21,03-Jul-21,04-Jul-21,05-Jul-21,06-Jul-21,07-Jul-21,08-Jul-21,09-Jul-21,10-Jul-21,11-Jul-21,12-Jul-21,13-Jul-21,14-Jul-21,15-Jul-21,16-Jul-21,17-Jul-21,18-Jul-21,19-Jul-21,20-Jul-21,21-Jul-21,22-Jul-21,23-Jul-21,24-Jul-21,25-Jul-21,26-Jul-21,27-Jul-21,28-Jul-21,29-Jul-21,30-Jul-21,31-Jul-21,01-Aug-21
Total reported admissions and diagnoses ,647,744,688,769,611,756,847,842,892,938,945,965,937,1136,1233,1153,1190,1271,1028,1163,1231,1270,1201,1326,1291,1125,1258,1437,1508,1524,1627,1612,1373,1335,1433,1506,1424,1499,1396,1249,1204,1284,1341,1233,1342,1117,1004,1015,1160,1166,1189,1181,1253,1173,1120,1257,1383,1451,1445,1422,1358,1501,1516,1643,1638,1691,1764,1592,1726,1885,2064,2092,1889,1717,1902,2224,2508,2711,2776,2765,2425,2932,3018,3241,3410,3542,3789,3686,3376,3532,3404,3687,3899,3594,3421,3116,3381,3276,3548,3565,3468,3071,2835,2629,2677,2520,2647,2593,2567,2245,2063,2058,2251,2125,1996,1791,1650,1589,1604,1676,1472,1463,1353,1253,1169,1305,1281,1233,1173,1087,995,859,976,937,944,826,798,676,599,640,688,663,587,568,475,505,444,482,467,468,437,372,373,350,414,345,327,343,275,276,267,286,286,269,277,233,205,210,202,210,219,177,170,169,151,182,181,184,164,158,145,172,168,149,151,127,108,120,109,132,95,120,88,119,88,97,106,125,85,79,77,64,89,93,73,91,82,72,73,69,72,76,88,73,71,65,58,72,84,90,92,82,71,76,96,83,92,82,91,64,77,96,114,96,88,93,94,119,127,143,152,158,139,125,185,178,186,175,199,182,175,168,178,178,210,189,200,220,219,238,279,325,292,303,318,381,409,450,454,481,441,433,496,603,615,628,654,585,609,688,736,788,772,806,713,718,814,813,795,710,739,622,573,628
Total reported admissions and diagnoses  0-5,8,6,4,2,7,5,13,9,4,7,5,8,8,7,12,6,6,11,5,11,9,10,11,10,6,7,6,10,9,4,6,12,10,8,5,8,6,5,9,10,8,10,10,10,6,10,9,9,9,6,7,9,9,8,6,5,6,9,7,8,6,17,12,12,13,17,19,15,13,16,17,25,11,14,12,17,27,29,22,20,19,19,18,20,28,26,24,24,29,20,14,16,27,32,21,20,25,17,15,25,20,15,24,24,26,19,20,11,16,19,16,13,20,23,11,12,12,3,17,17,11,17,16,7,9,14,14,7,6,7,13,9,13,8,14,10,11,10,2,4,4,6,9,7,4,7,4,6,10,11,7,3,2,5,5,4,2,1,4,8,7,6,7,4,4,5,1,3,2,5,6,4,6,2,3,4,0,2,2,2,3,3,3,0,5,2,2,3,1,1,1,2,1,3,2,2,1,2,2,2,4,1,2,5,4,3,2,1,0,1,6,6,2,0,1,1,0,4,0,3,3,4,2,2,2,2,2,1,4,3,7,4,3,3,6,4,4,3,8,8,7,3,3,3,2,4,12,6,6,7,7,8,7,8,8,9,7,13,5,4,17,15,11,6,7,15,15,12,8,7,18,7,22,27,21,18,17,18,20,23,29,25,25,23,15,18,33,28,29,15,22,17,20,27
Total reported admissions and diagnoses  6-17,8,5,8,3,5,4,7,13,9,11,3,6,2,8,4,8,7,4,8,6,11,10,15,10,9,12,6,6,13,12,14,12,15,12,11,11,11,9,7,11,15,12,12,8,11,7,15,5,12,10,5,19,9,10,9,11,17,9,19,14,7,10,12,15,16,11,12,20,12,16,17,12,14,9,11,12,20,19,15,17,12,20,18,21,25,20,23,23,14,8,16,19,17,13,13,13,23,10,20,18,25,17,18,10,12,20,20,11,12,15,12,14,20,16,18,14,14,11,7,18,8,10,10,6,9,11,6,12,10,6,9,8,5,12,11,4,9,7,1,13,7,11,7,6,8,3,2,7,7,3,3,5,3,9,8,3,3,7,5,6,2,6,7,3,6,8,5,4,5,7,5,2,1,4,3,9,3,5,5,4,2,4,4,1,4,2,1,1,1,3,1,1,3,3,3,1,3,8,2,1,2,2,3,3,4,3,2,1,3,0,3,3,2,2,3,1,3,2,2,2,1,3,5,6,0,1,6,1,1,2,3,1,6,4,1,1,4,5,8,8,7,2,2,5,5,6,10,6,4,5,6,7,4,6,5,6,9,13,3,5,10,8,8,15,12,15,9,12,8,11,11,13,12,27,21,18,20,18,17,14,23,30,28,31,27,27,25,29,18,18,23,16,15,22
Total reported admissions and diagnoses  18-24,20,19,14,13,11,18,15,17,21,16,18,12,9,22,21,16,19,13,24,17,20,16,14,9,15,23,17,24,22,22,17,25,25,20,15,20,21,18,14,12,15,18,17,30,28,18,16,11,13,15,10,16,14,13,13,13,14,23,22,24,18,16,16,21,27,24,16,21,27,24,30,16,30,17,23,25,23,41,45,37,33,30,36,61,37,59,50,44,40,48,43,44,49,51,44,56,46,40,42,48,49,31,38,28,43,36,40,40,36,38,34,40,22,32,30,26,32,33,28,21,26,21,17,21,27,29,20,13,17,20,17,23,18,30,16,9,12,17,12,14,13,7,16,12,16,13,9,10,11,8,19,13,12,8,11,10,9,16,6,12,6,12,9,12,7,7,8,8,5,2,6,7,3,5,7,4,7,7,5,8,4,8,7,7,2,1,3,2,2,4,8,5,3,6,5,5,6,7,3,2,1,6,7,5,5,2,3,3,2,1,2,5,4,2,3,3,2,4,5,3,3,7,5,7,6,9,6,6,5,4,4,5,7,6,10,4,7,9,10,11,11,16,14,7,13,15,18,13,16,16,23,15,18,21,18,19,21,23,19,27,22,27,26,20,28,41,39,47,36,51,27,32,38,50,40,47,48,38,43,64,47,38,53,46,40,47,48,50,41,40,41,32,40,47
Total reported admissions and diagnoses  25-34,18,26,41,39,22,33,29,22,36,26,26,33,26,41,39,47,47,48,47,38,46,46,35,52,43,47,52,59,68,66,70,58,48,55,47,47,58,59,45,48,38,49,59,46,50,47,39,45,49,46,47,42,50,53,30,53,51,49,44,44,47,40,56,51,60,56,77,75,67,80,89,84,91,63,79,87,91,126,124,128,116,128,101,152,132,149,140,160,129,126,112,153,159,171,135,116,108,109,132,138,141,111,126,107,111,112,108,99,101,94,86,82,83,77,97,85,77,63,66,72,72,81,65,67,59,61,60,57,61,58,55,42,48,47,55,41,52,34,35,32,39,42,28,43,35,31,33,39,22,39,24,22,32,23,30,29,29,37,23,17,22,22,27,19,14,19,10,15,21,16,12,12,14,13,16,7,17,18,16,9,12,20,12,13,18,13,9,13,8,8,8,13,6,16,11,12,6,11,4,15,7,9,13,13,8,8,11,4,8,5,9,9,8,8,7,8,7,4,10,15,12,7,12,12,15,16,9,8,18,6,9,10,20,15,11,16,7,20,21,16,17,38,22,23,32,26,32,27,34,24,33,38,28,31,37,36,28,33,40,39,44,62,38,49,62,61,67,72,82,72,73,84,81,84,93,111,128,104,87,105,110,134,107,144,120,109,122,106,130,101,113,97,83,88
Total reported admissions and diagnoses  35-44,32,37,26,34,30,39,41,49,40,47,41,28,52,62,66,51,45,54,43,54,46,66,53,58,58,42,56,57,61,54,83,90,60,72,64,77,75,81,65,60,55,77,79,67,81,57,51,59,58,57,55,70,58,64,57,53,59,75,81,66,67,74,69,78,86,90,99,92,95,107,132,123,97,114,134,158,161,182,177,195,155,166,219,198,219,229,229,173,193,190,192,209,217,222,210,170,188,170,196,203,213,186,164,138,144,167,155,184,161,116,111,137,149,127,108,117,126,104,106,102,90,94,88,77,71,81,70,95,69,71,72,63,77,79,76,68,56,48,41,49,55,43,47,48,39,31,28,39,34,33,29,38,33,28,32,15,25,23,29,22,26,18,27,23,32,24,29,23,17,22,26,17,23,17,14,20,27,16,16,18,7,19,17,18,19,13,15,15,14,20,11,9,14,13,10,6,7,12,12,13,7,9,7,13,7,15,16,12,8,7,7,10,15,15,15,10,11,18,20,12,22,12,8,7,17,15,23,22,21,11,14,17,25,20,15,20,13,22,22,26,31,26,28,25,26,23,28,21,32,29,30,21,25,28,34,13,26,27,35,38,41,48,43,46,34,55,57,58,74,72,65,68,67,76,96,83,96,87,84,101,106,115,97,105,100,107,104,101,119,100,105,89,74,79
Total reported admissions and diagnoses  45-54,50,80,63,65,61,58,77,87,80,86,90,85,75,105,120,120,112,110,92,97,97,114,111,125,96,99,139,125,116,130,132,134,139,128,124,125,132,136,137,115,109,116,128,97,115,100,90,76,101,100,104,98,96,115,115,96,118,127,104,126,122,127,134,140,132,142,148,142,163,211,197,220,221,213,212,238,330,305,299,290,249,308,317,361,335,373,417,372,366,363,331,388,389,363,347,328,355,371,331,377,400,341,301,276,297,279,260,276,291,245,189,192,237,190,216,164,170,160,179,191,151,137,148,138,127,135,145,148,139,117,111,93,97,98,116,104,108,73,65,68,82,73,65,64,57,54,55,59,51,54,60,48,41,43,62,44,45,35,35,39,29,43,29,30,37,17,19,23,29,35,37,19,14,30,20,29,19,18,25,20,23,20,22,20,11,16,19,17,10,12,7,13,10,11,11,7,14,12,7,7,9,8,7,8,8,15,12,10,10,9,10,9,9,11,5,14,8,12,13,16,16,13,10,7,8,12,16,9,15,9,9,9,12,12,8,20,18,20,15,15,30,27,11,11,29,24,23,29,29,33,21,22,28,26,32,23,27,30,33,23,25,37,34,31,41,41,53,58,58,46,59,56,62,75,87,79,79,75,83,84,88,106,102,113,104,95,119,113,102,90,94,78,62,83
Total reported admissions and diagnoses  55-64,89,124,86,106,91,86,118,109,102,130,119,144,123,136,195,165,176,181,136,143,163,179,143,195,176,155,169,178,207,206,212,215,178,170,215,194,181,211,193,151,175,170,181,170,171,147,136,103,147,137,162,137,173,123,131,156,163,177,188,180,181,174,196,198,186,210,242,210,249,260,282,299,255,238,286,324,394,379,414,451,389,448,453,501,562,533,604,625,497,562,502,597,624,523,566,507,563,486,592,610,535,541,531,418,430,410,455,422,429,394,359,343,397,324,291,300,265,258,283,278,236,233,250,208,199,228,204,211,201,183,158,162,174,164,178,159,148,124,120,125,130,118,109,95,75,88,92,93,72,84,79,67,67,60,52,63,47,51,42,33,44,36,40,45,40,39,29,30,30,32,28,28,26,18,21,23,35,29,31,20,25,25,21,21,24,18,14,12,20,16,12,19,8,12,6,15,12,15,17,11,14,4,13,11,10,13,13,8,10,15,9,8,11,11,9,5,7,7,11,8,9,9,10,8,16,3,5,10,6,9,8,10,12,12,17,8,9,13,17,15,12,12,16,17,28,21,17,21,21,21,16,16,14,17,17,33,25,20,22,34,32,31,28,32,34,45,40,47,50,65,54,48,56,76,82,85,79,81,77,83,95,100,93,106,85,94,110,108,105,115,96,91,72,63
Total reported admissions and diagnoses  65-74,117,145,139,131,113,127,166,146,177,171,171,169,187,220,234,192,213,251,217,234,233,231,228,247,248,202,225,265,286,278,312,308,273,261,267,314,255,284,262,259,233,232,257,223,227,194,181,182,184,196,204,199,237,192,203,205,253,261,227,236,215,257,245,286,276,303,285,270,287,290,377,374,308,315,344,405,427,463,493,435,417,557,538,543,588,674,705,670,623,656,676,704,718,707,640,589,585,606,688,623,610,562,486,474,488,476,480,464,437,402,360,395,405,422,362,341,300,286,289,332,289,282,228,273,211,221,236,231,238,215,177,157,179,180,164,156,123,127,107,122,121,119,95,100,71,83,70,69,69,70,62,33,58,39,71,46,55,53,36,27,45,42,33,44,45,39,24,36,26,32,29,36,29,23,21,23,17,24,19,27,21,19,26,17,17,15,17,16,13,23,21,26,12,19,14,15,24,17,16,11,11,9,9,13,7,7,8,14,8,14,8,11,13,8,13,13,6,4,9,12,5,6,7,5,9,8,11,9,7,8,10,11,12,6,8,5,9,8,9,11,8,18,13,10,19,18,16,17,25,21,18,16,26,20,23,13,15,22,25,22,33,25,32,30,36,35,39,54,55,59,43,46,48,68,84,79,65,72,58,83,86,99,92,97,72,83,102,98,87,80,102,75,75,72
Total reported admissions and diagnoses  75-84,156,168,167,210,144,189,192,214,227,260,241,264,273,281,298,291,314,330,234,298,330,317,325,336,329,307,319,397,386,403,393,402,368,355,399,392,400,389,358,311,300,306,317,320,366,281,251,253,305,311,296,308,323,277,281,346,331,365,368,356,348,387,394,412,443,439,455,402,435,450,464,502,464,389,424,493,546,615,619,607,585,689,731,758,801,776,873,843,804,843,781,817,899,827,748,698,760,744,805,817,764,686,611,593,589,549,577,557,595,485,470,451,490,494,463,389,351,333,303,336,306,309,263,257,220,271,279,243,210,227,216,147,179,171,174,138,147,115,114,107,128,131,107,95,82,84,74,98,100,79,84,71,66,70,79,64,69,67,48,60,39,57,40,45,48,45,46,33,41,31,35,29,25,31,21,38,30,32,26,34,25,27,39,28,24,31,14,19,21,31,13,14,17,22,13,18,19,21,12,8,11,7,13,15,11,11,8,9,12,7,12,7,11,4,7,6,7,7,6,11,10,12,4,15,14,8,7,10,9,7,10,20,8,11,7,9,12,12,9,21,13,11,17,13,14,21,21,20,13,18,10,17,16,10,22,22,27,26,22,25,33,46,37,34,31,41,49,51,45,56,51,49,55,67,52,62,76,47,81,61,106,89,96,85,74,79,88,92,103,104,83,84,75,94
Total reported admissions and diagnoses  85+,139,120,116,163,110,153,163,157,196,165,227,203,174,220,221,227,240,240,186,244,250,270,250,276,293,220,252,302,326,331,363,330,235,251,286,318,285,307,304,272,256,294,281,262,287,256,216,272,282,288,278,279,283,278,262,319,371,356,385,368,345,398,378,420,399,399,411,345,378,431,459,437,380,333,362,450,482,528,542,562,444,567,587,626,683,699,724,752,681,716,737,740,800,683,697,612,725,723,727,706,711,581,536,561,537,452,532,529,489,437,426,391,428,420,400,343,303,338,321,305,283,279,268,199,237,254,247,216,222,183,167,148,182,134,140,137,132,121,102,106,109,113,104,98,88,111,77,62,91,87,70,72,59,62,62,67,42,53,47,52,47,44,65,42,44,30,33,35,26,28,35,23,29,26,25,25,26,33,18,16,23,27,17,24,27,16,14,22,19,14,13,18,14,14,13,16,14,20,10,9,11,9,15,6,8,13,7,10,12,10,6,8,13,12,8,4,7,10,8,8,11,9,8,7,9,9,7,6,5,5,3,9,9,7,5,6,7,7,8,12,16,5,13,11,17,16,9,15,19,8,11,8,10,11,12,11,12,11,15,19,19,24,30,32,25,32,41,39,38,42,40,30,55,53,39,46,46,44,58,70,46,52,79,56,76,59,63,80,61,47,60,43,57,53
Total reported admissions and diagnoses  Unknown age,10,14,24,3,17,44,26,19,0,19,4,13,8,34,23,30,11,29,36,21,26,11,16,8,18,11,17,14,14,18,25,26,22,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,4,1,40,13,0,0,0,0,0,2,1,4,10,0,0,0,0,0,0,0,0,18,12,15,15,7,24,26,23,6,0,0,0,0,4,0,0,0,0,0,0,0,2,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,7,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,2,4,3,2,0,2,3,2,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
